Sl No,product_name,product_imageSRC,product_price_in_inr,product_rating,product_total_ratings,product_total_reviews,product_discount,processor,ram,os,storage,display
1,Samsung Galaxy Book4 Metal Intel Core i5 13th Gen 1335U - (8 GB/512 GB SSD/Windows 11 Home) NP750XGJ-K...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/k/t/y/-enriched-transparent-original-imahg53xspmfrsdd.png?q=70,55311.0,4.4,19735,2048,29,Intel Core i5 Processor (13th Gen),8 GB LPDDR4X RAM,64 bit Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display
2,Samsung Galaxy Book4 Metal Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) NP750XGJ-L...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/q/k/o/-enriched-transparent-original-imahg53xmzmtsynn.png?q=70,51990.0,4.4,86,9,36,Intel Core i3 Processor (13th Gen),8 GB LPDDR4X RAM,64 bit Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display
3,"Acer Aspire 15 MS Office 2024 + M365 Basic, AMD Ryzen 3 Quad Core 7330U - (8 GB/256 GB SSD/Windows 11 ...",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/0/t/s/-original-imahnt7jpy3mrfgz.jpeg?q=70,39990.0,3.7,35,11,33,AMD Ryzen 3 Quad Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Home Operating System,256 GB SSD,39.62 cm (15.6 inch) Display
4,ASUS Vivobook 15 (2025) with Office 2024 + M365 Basic* Intel Core i3 13th Gen - (8 GB/512 GB SSD/Windo...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/x/i/d/-original-imah8fzgxzjamzju.jpeg?q=70,42990.0,4.3,10664,1222,9,Intel Core i3 Processor (13th Gen),8 GB DDR5 RAM,Windows 11 Home Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display
5,ASUS ExpertBook P1 (i3 14th Gen) with 1 Yr ADP Intel Core 3 14th Gen 100U - (8 GB/512 GB SSD/Windows 1...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/r/7/u/-original-imahmpquxzztyzny.jpeg?q=70,50990.0,4.3,36,6,46,Intel Core 3 Processor (14th Gen),8 GB DDR5 RAM,64 bit Windows 11 Home Operating System,512 GB SSD,35.56 cm (14 Inch) Display
6,Acer Aspire 3 AMD Ryzen 3 Quad Core 7330U - (8 GB/256 GB SSD/Windows 11 Home) AS15-42 Thin and Light L...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/0/t/s/-original-imahnt7jpy3mrfgz.jpeg?q=70,48104.0,4.1,19735,2048,29,AMD Ryzen 3 Quad Core Processor,8 GB DDR4 RAM,Windows 11 Operating System,256 GB SSD,39.62 cm (15.6 inch) Display
7,"ASUS Vivobook 15 (2026) with Office 2024 + M365 Basic*, AMD Ryzen 5 Hexa Core 150 - (16 GB/512 GB SSD/...",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/z/d/e/-original-imahknwxyryqdsfq.jpeg?q=70,64990.0,4.5,7,1,12,AMD Ryzen 5 Hexa Core Processor,16 GB DDR5 RAM,Windows 11 Home Operating System,512 GB SSD,39.62 cm (15.6 inch) Display
8,Samsung Galaxy Book4 Metal Intel Core i5 13th Gen 1335U - (8 GB/512 GB SSD/Windows 11 Home) NP750XGJ-K...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/k/t/y/-enriched-transparent-original-imahg53xspmfrsdd.png?q=70,55311.0,4.4,48,5,17,Intel Core i5 Processor (13th Gen),8 GB LPDDR4X RAM,64 bit Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display
9,DELL 15 (Previously Inspiron) Intel Core i5 13th Gen 1334U - (16 GB/512 GB SSD/Windows 11 Home) DC1525...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/u/i/e/-original-imahzv9hvn3wejvk.jpeg?q=70,62990.0,4.3,1402,134,32,Intel Core i5 Processor (13th Gen),16 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,38.1 cm (15 Inch) Display
10,Primebook Wifi MediaTek MT8183 - (4 GB/64 GB EMMC Storage/Prime OS) PB Wifi Thin and Light Laptop,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/5/c/5/-original-imagtrj27kprghgz.jpeg?q=70,17990.0,4.2,10664,1222,9,MediaTek MT8183 Processor,4 GB LPDDR4 RAM,Android Operating System,29.46 cm (11.6 Inch) Display,1 Year Pick and Drop Warranty
